,adj.P.Val,P.Value,t,B,logFC
LAPTM5,0.2944,0.00375672,-3.4744723,-1.7232,-1.48482605
SUPT3H,0.2944,0.00374805,3.4756395,-1.7211,1.38539467
CHN1,0.2957,0.00379521,3.4693274,-1.7324,0.79695734
CLEC10A,0.2978,0.00386001,-3.4607816,-1.7476,-1.23454879
UBR1,0.2978,0.00386634,3.4599544,-1.749,0.98073674
CRTAP,0.2984,0.00389545,3.4561683,-1.7558,0.74427742
SLC9A8,0.2999,0.00393818,3.4506621,-1.7656,1.01960104
ENAH,0.3036,0.0040082,3.441768,-1.7814,1.04953846
NEXN,0.3044,0.00410905,3.4292293,-1.8038,0.70381329
RASSF1,0.3044,0.00405782,-3.4355595,-1.7925,-0.71190831
SORBS2,0.3044,0.00409255,3.4312595,-1.8001,0.78963464
ADA,0.3069,0.00421107,-3.4168545,-1.8258,-0.68762365
LCN12,0.3069,0.00420068,3.4181007,-1.8236,1.74157583
PDE3B,0.3069,0.00417104,3.4216742,-1.8172,0.93429867
CILP,0.307,0.0042447,3.412841,-1.8329,0.9952142
MAFB,0.307,0.00431515,-3.4045376,-1.8477,-1.06173678
MELTF,0.307,0.00432627,3.4032393,-1.85,2.29996367
MME,0.307,0.00428068,3.4085834,-1.8405,0.79712618
MSC,0.307,0.00429649,-3.4067232,-1.8438,-1.01904105
HCP5,0.3117,0.00443976,-3.3901767,-1.8733,-0.79261597
TSC22D1,0.3117,0.0044276,-3.39156,-1.8708,-0.88190702
GUCA1C,0.3119,0.00446566,3.3872423,-1.8785,1.3409974
C6orf223,0.313,0.0046103,-3.3711649,-1.9072,-1.06218908
HNMT,0.313,0.00465249,-3.3665701,-1.9154,-1.3865321
IL32,0.313,0.00466686,-3.3650141,-1.9181,-1.06518047
INCENP,0.313,0.0045848,-3.3739623,-1.9022,-1.42297185
KIF1C,0.313,0.00463436,3.3685388,-1.9118,0.70885899
NCAPD3,0.313,0.00460094,3.3721891,-1.9053,0.98102679
NMNAT2,0.313,0.00464315,3.3675837,-1.9135,1.02648573
RHAG,0.313,0.00456964,-3.3756326,-1.8992,-1.40840936
DDAH1,0.3135,0.00469682,3.3617866,-1.9239,1.2486853
ALDH3B2,0.3136,0.00472931,-3.3583106,-1.9301,-1.33712483
INPP1,0.3136,0.00474507,-3.3566326,-1.9331,-0.61104319
ARFGEF3,0.3161,0.00489587,3.3408539,-1.9611,1.00957542
COL4A5,0.3161,0.00484369,3.3462583,-1.9515,0.81480254
KDR,0.3161,0.0048581,-3.34476,-1.9542,-0.97382242
RARRES3,0.3161,0.00483444,-3.3472226,-1.9498,-0.84584324
RCL1,0.3161,0.00490085,3.3403416,-1.9621,0.84579389
ARHGAP15,0.3177,0.00511389,-3.318883,-2.0003,-0.85082307
ARNT2,0.3177,0.00510577,3.3196844,-1.9988,1.46872692
DNAH1,0.3177,0.00501974,3.3282538,-1.9836,1.56215259
DOCK10,0.3177,0.00510874,-3.3193914,-1.9994,-1.18217827
FOS,0.3177,0.0050493,-3.3252931,-1.9889,-2.97301067
GDF3,0.3177,0.00510421,3.3198387,-1.9986,1.01278876
MS4A6A,0.3177,0.00501145,-3.3290877,-1.9821,-1.31142896
ZNF219,0.3177,0.00508658,3.3215832,-1.9955,0.79146446
CEACAM1,0.3179,0.00514018,-3.3162979,-2.0049,-0.96512139
CPA3,0.3191,0.00518459,-3.3119591,-2.0126,-2.47507358
ATG13,0.3197,0.00557097,3.2757132,-2.0771,1.11096642
CBX6,0.3197,0.00565403,3.2682494,-2.0904,0.83142003
CXXC4,0.3197,0.00557902,3.2749844,-2.0784,1.06081668
DEFB121,0.3197,0.00569372,-3.2647223,-2.0967,-1.18672841
DUSP1,0.3197,0.0054828,-3.2837582,-2.0628,-1.32655456
EMC3,0.3197,0.00558484,-3.2744591,-2.0794,-0.62549971
ENO2,0.3197,0.00566267,3.26748,-2.0918,1.3284051
ERCC4,0.3197,0.00558351,3.2745789,-2.0791,1.32945932
GPR63,0.3197,0.00570759,3.2634948,-2.0989,1.76631679
ICK,0.3197,0.00540608,3.2908642,-2.0502,0.78787328
IFIH1,0.3197,0.00580936,-3.2545824,-2.1147,-0.83998858
KCNK6,0.3197,0.00545996,3.2858628,-2.0591,1.10573205
L3MBTL3,0.3197,0.0056176,-3.2715094,-2.0846,-0.72514798
NABP1,0.3197,0.00547192,-3.2847598,-2.061,-1.40227763
PRIM2,0.3197,0.00568886,-3.2651526,-2.0959,-1.23337811
RRAS,0.3197,0.00547907,3.2841007,-2.0622,0.62895592
SEPSECS,0.3197,0.00526092,3.3045889,-2.0257,1.45711542
SLC44A1,0.3197,0.00579446,-3.2558779,-2.1124,-0.56560034
TCTEX1D1,0.3197,0.00537697,-3.2935863,-2.0453,-1.3674386
TMCO3,0.3197,0.00556924,3.2758697,-2.0768,0.8963155
TPM3P9,0.3197,0.00576614,3.2583485,-2.108,2.21045092
ZNF416,0.3197,0.00578665,3.2565578,-2.1112,0.64669796
MAP4,0.3199,0.00586032,3.2501779,-2.1226,0.95268108
SGPP1,0.3199,0.00585272,-3.250832,-2.1214,-0.58825282
PCP4,0.323,0.00594119,-3.2432662,-2.1349,-1.00767795
IGFBP5,0.325,0.0060032,3.238029,-2.1442,1.13572414
ACADSB,0.3264,0.00624918,3.2177753,-2.1802,0.99297216
APOA1,0.3264,0.0064672,3.200477,-2.2109,1.76918572
C8orf76,0.3264,0.00677574,-3.1769647,-2.2527,-0.56499188
CEP85L,0.3264,0.00650792,-3.1973108,-2.2166,-1.15566557
DIXDC1,0.3264,0.00651739,3.196577,-2.2179,1.02736823
DYRK1B,0.3264,0.00621217,3.2207715,-2.1749,1.89279895
F5,0.3264,0.00674853,-3.1789949,-2.2491,-2.70134519
FAT4,0.3264,0.00638571,3.2068741,-2.1996,0.75737884
HOXC6,0.3264,0.00617563,-3.2237471,-2.1696,-1.1287845
MAP1A,0.3264,0.00624906,3.2177853,-2.1802,1.35969043
MAP3K7CL,0.3264,0.00656622,3.1928119,-2.2246,2.14806576
NEDD9,0.3264,0.00677603,-3.1769431,-2.2528,-1.00783823
NMI,0.3264,0.00653459,-3.1952476,-2.2202,-0.75596422
PRMT2,0.3264,0.00679225,3.1757368,-2.2549,0.90774241
SBK1,0.3264,0.00669207,3.183234,-2.2416,1.08676489
SLC35D1,0.3264,0.00666679,-3.1851433,-2.2382,-1.02056301
SMIM3,0.3264,0.0066853,-3.1837442,-2.2407,-0.75483094
SNORA25,0.3264,0.00670217,-3.182473,-2.2429,-0.74371265
ST6GALNAC4,0.3264,0.00677762,3.1768248,-2.253,0.63469297
ST8SIA4,0.3264,0.0061132,-3.2288719,-2.1605,-1.16222147
STC2,0.3264,0.00659385,-3.190693,-2.2283,-1.30933564
SYNPO2L,0.3264,0.00618138,3.2232774,-2.1704,0.98675844
TMEM8A,0.3264,0.0065619,3.1931441,-2.224,0.74956808
VAMP8,0.3264,0.00628914,-3.2145602,-2.1859,-1.15480298
VGLL2,0.3264,0.0066801,3.1841369,-2.24,2.2663906
YWHAE,0.3264,0.00606926,3.2325101,-2.154,1.25132337
ZNF334,0.3264,0.00610276,3.2297336,-2.1589,0.80554902
ZNF662,0.3264,0.00645723,3.2012556,-2.2096,2.60769996
ZNF764,0.3264,0.00626855,3.216214,-2.183,1.3326724
AAED1,0.3266,0.00728249,-3.1405674,-2.3174,-0.73840729
ARHGEF10L,0.3266,0.00721563,3.1452227,-2.3091,0.95623407
CMTM7,0.3266,0.0073156,-3.1382778,-2.3214,-0.92569538
CSTF1,0.3266,0.00715369,3.149574,-2.3014,2.34310128
DEPTOR,0.3266,0.00700595,-3.1601055,-2.2827,-0.64229357
FAM13B,0.3266,0.00739771,3.1326437,-2.3314,0.70356508
GABRB1,0.3266,0.00693956,3.1649108,-2.2741,1.36731323
GLA,0.3266,0.00732902,-3.1373529,-2.3231,-0.67453058
HEXB,0.3266,0.00741233,3.1316472,-2.3332,0.58795501
JMY,0.3266,0.00719073,3.1469678,-2.306,0.84505267
KLK5,0.3266,0.00713873,-3.1506304,-2.2995,-1.04425096
LSMEM1,0.3266,0.00686228,3.170561,-2.2641,2.12264293
MAPK8IP1,0.3266,0.00709029,3.154067,-2.2934,3.00429319
NAP1L3,0.3266,0.00740024,3.1324711,-2.3317,1.43127087
NTF3,0.3266,0.00734724,-3.1360995,-2.3253,-1.55158524
PIGZ,0.3266,0.00690134,3.167697,-2.2692,1.06778593
POLR1E,0.3266,0.00721708,3.1451212,-2.3093,0.83313872
PTPN11,0.3266,0.00735239,3.1357459,-2.3259,0.62351588
SAMSN1,0.3266,0.00716096,-3.1490613,-2.3023,-1.80555978
SPTLC2,0.3266,0.00686114,3.1706447,-2.264,1.095782
UQCRB,0.3266,0.00716521,-3.1487623,-2.3028,-0.77057568
USP11,0.3266,0.00693652,3.1651319,-2.2738,0.63090627
USP13,0.3266,0.00725598,3.1424085,-2.3141,0.58391477
WDR89,0.3266,0.0072079,-3.145764,-2.3081,-1.38360411
PDXP,0.3286,0.00748208,3.1269192,-2.3416,0.6117471
CD38,0.3287,0.00750927,-3.1250879,-2.3448,-1.40445579
AZIN1,0.3317,0.00764586,3.1159871,-2.361,2.03872482
C1orf21,0.3317,0.00767351,3.1141641,-2.3642,0.75448853
EPHA8,0.3317,0.00767163,-3.1142878,-2.364,-1.00146609
MAST4,0.3317,0.00767592,-3.1140054,-2.3645,-0.70476425
ABAT,0.332,0.00789039,3.1000896,-2.3892,1.33812371
ANTXR2,0.332,0.00772246,3.110953,-2.3699,0.5806711
C15orf52,0.332,0.00774276,3.1096276,-2.3723,0.76879746
HOXD3,0.332,0.00780992,-3.1052665,-2.38,-0.64484692
ISG20,0.332,0.00784222,-3.103182,-2.3837,-1.40920509
KIAA0556,0.332,0.00789872,3.0995566,-2.3901,0.61823615
MCAM,0.332,0.00781741,3.1047826,-2.3808,0.8710151
VPS13A,0.332,0.00785645,3.1022666,-2.3853,1.36935996
SPAST,0.3325,0.00794274,-3.0967498,-2.3951,-0.55926849
LMO2,0.335,0.00802714,-3.0914113,-2.4046,-0.90845195
NUFIP1,0.3365,0.00808649,3.0876901,-2.4111,1.74236818
KLF4,0.3433,0.00827661,-3.0759503,-2.4319,-1.08788536
CLDN23,0.344,0.00831969,-3.0733272,-2.4366,-1.51188556
FZD5,0.345,0.00838778,-3.0692091,-2.4439,-0.83564875
IFI44,0.345,0.00839503,-3.0687722,-2.4447,-0.6452651
CRAMP1,0.346,0.00851495,3.0616047,-2.4573,1.31080382
IPO8,0.346,0.00852062,3.0612684,-2.4579,1.21121347
MCUB,0.346,0.0084814,-3.0636001,-2.4538,-1.15107434
RTF1,0.346,0.00849128,3.0630116,-2.4549,0.85451966
ARL3,0.3465,0.00881683,3.0439953,-2.4885,0.75944203
BRINP1,0.3465,0.00866697,3.0526612,-2.4732,1.88383934
CCDC86,0.3465,0.0088177,3.0439453,-2.4886,1.4879962
CLIC3,0.3465,0.00878572,-3.0457822,-2.4854,-1.62187931
COL7A1,0.3465,0.00856021,3.0589256,-2.4621,1.26207312
FADS1,0.3465,0.00881252,3.0442425,-2.4881,0.80066256
GBP4,0.3465,0.00878708,-3.0457041,-2.4855,-0.55746254
PER3,0.3465,0.00884226,3.0425393,-2.4911,1.8882476
RHOB,0.3465,0.00871876,-3.0496496,-2.4785,-0.99074964
SMARCD1,0.3465,0.00876469,3.0469941,-2.4832,2.31296211
SVIL,0.3465,0.00865709,3.0532376,-2.4722,0.59401932
SEMA6D,0.3469,0.00887671,3.0405735,-2.4946,2.5249109
AHSA2,0.3481,0.00897419,3.0350514,-2.5043,0.82326048
HOGA1,0.3481,0.00897903,3.0347787,-2.5048,1.02531909
NCAPD2,0.3481,0.00901179,3.0329375,-2.5081,0.89481603
SPATC1L,0.3481,0.00900979,3.0330495,-2.5079,1.45213971
IKZF4,0.3503,0.00926807,3.0187556,-2.5331,0.74215292
LTBP2,0.3503,0.00929703,3.0171773,-2.5359,1.20045356
SH3KBP1,0.3503,0.0092675,-3.0187865,-2.5331,-0.98137013
SLC28A1,0.3503,0.00919919,-3.0225285,-2.5265,-0.64200352
SPOCK1,0.3503,0.00928461,-3.0178538,-2.5347,-1.07877089
SRPK3,0.3503,0.0091726,3.0239928,-2.5239,0.93226818
WDR24,0.3503,0.00922062,3.021352,-2.5286,1.00490513
WDR53,0.3503,0.00925727,-3.0193455,-2.5321,-0.57496498
CDHR2,0.3505,0.00935901,-3.0138162,-2.5419,-0.94501581
COL16A1,0.3505,0.00935009,3.014299,-2.541,0.92899431
YIPF7,0.356,0.00955942,3.0030967,-2.5608,1.36637551
ADGRB3,0.3597,0.01021025,-2.9697547,-2.6196,-1.1254906
BAIAP2-AS1,0.3597,0.0101851,2.9710039,-2.6174,0.99048769
BDNF,0.3597,0.01052407,2.9544202,-2.6467,1.4054367
C2CD4B,0.3597,0.01050517,-2.955331,-2.6451,-0.71361238
CAPN12,0.3597,0.01041659,2.9596207,-2.6375,1.9691183
CCDC58,0.3597,0.0107599,-2.9431906,-2.6664,-0.72459018
CCNI,0.3597,0.01058464,2.9515126,-2.6518,0.4854237
CHRD,0.3597,0.01047848,-2.9566197,-2.6428,-1.19081811
CLCC1,0.3597,0.00978799,-2.9911387,-2.5819,-1.3411017
CMTM5,0.3597,0.01078355,-2.9420775,-2.6684,-0.7644599
CNRIP1,0.3597,0.00991878,-2.9844196,-2.5938,-0.59542462
CPE,0.3597,0.010867,-2.9381704,-2.6753,-0.73512033
CRTAM,0.3597,0.01023906,2.9683278,-2.6222,2.10552978
CSF1R,0.3597,0.01030437,-2.9651074,-2.6278,-0.98810113
DENND5B,0.3597,0.01042315,2.959302,-2.6381,0.91933793
DYNC1LI2,0.3597,0.01062152,2.9497499,-2.6549,0.55962422
ELANE,0.3597,0.01054082,-2.9536144,-2.6481,-1.14167152
ENAM,0.3597,0.00991189,2.9847711,-2.5932,1.46765479
FAM13C,0.3597,0.01038663,2.9610801,-2.6349,0.87616779
FNDC5,0.3597,0.01070017,-2.9460118,-2.6615,-0.81948096
FRMD6,0.3597,0.01074752,-2.9437738,-2.6654,-0.49793159
GFPT1,0.3597,0.01071388,2.9453625,-2.6626,0.79954032
GPRASP2,0.3597,0.01019792,2.9703671,-2.6186,0.60583879
HLA-DMB,0.3597,0.01068131,-2.9469057,-2.6599,-0.88356004
HOOK2,0.3597,0.0107405,2.9441049,-2.6648,0.74253246
KCNC4,0.3597,0.01088555,2.9373056,-2.6768,2.02117962
MORN4,0.3597,0.01066086,2.9478766,-2.6582,1.12650859
MYO18B,0.3597,0.01000321,2.9801282,-2.6013,1.16569293
PACSIN1,0.3597,0.01001502,2.9795312,-2.6024,1.08732698
PDE6B,0.3597,0.01000379,2.9800991,-2.6014,1.31012323
PDGFRA,0.3597,0.01020504,-2.9700135,-2.6192,-1.19306447
PGM2,0.3597,0.01017193,-2.971659,-2.6163,-0.94265875
PLAU,0.3597,0.01062144,-2.949754,-2.6549,-1.06858777
PPAT,0.3597,0.00996357,-2.9821387,-2.5978,-0.75067625
PSORS1C1,0.3597,0.0107335,-2.9444352,-2.6643,-1.29395059
REC8,0.3597,0.01087422,2.9378337,-2.6759,0.8318586
RNASEH1,0.3597,0.01017599,2.9714572,-2.6166,0.66610938
ST8SIA5,0.3597,0.01045789,2.9576162,-2.641,1.08077843
STARD5,0.3597,0.01065399,-2.9482032,-2.6576,-1.12840459
SUSD1,0.3597,0.01088658,-2.9372577,-2.6769,-1.07249624
TAOK2,0.3597,0.00969765,2.9958318,-2.5736,1.23213098
TCEA2,0.3597,0.00973098,2.994095,-2.5767,0.82770499
ZNF77,0.3597,0.01000845,2.9798633,-2.6018,0.91709302
ZNF785,0.3597,0.01076821,2.9427993,-2.6671,2.46212559
NCAM1,0.3602,0.01094147,2.9347085,-2.6814,1.23266416
WNT2B,0.3602,0.01095364,2.9341448,-2.6824,1.02682663
BBS9,0.3617,0.01127379,-2.9195365,-2.7081,-1.38008788
CBX7,0.3617,0.01122523,2.9217259,-2.7042,0.96575145
CENPV,0.3617,0.01131996,-2.9174637,-2.7117,-0.81036809
DNAJB9,0.3617,0.01108372,-2.9281593,-2.6929,-0.61978358
GSTM3,0.3617,0.01115082,2.9250986,-2.6983,1.3979191
SLC26A6,0.3617,0.01122522,-2.9217264,-2.7042,-0.65082902
TMTC4,0.3617,0.01124358,-2.9208978,-2.7057,-0.68434856
WNT7A,0.3617,0.01132323,-2.9173173,-2.712,-0.79612853
ZBTB16,0.3617,0.01121127,2.922357,-2.7031,1.43513564
CD209,0.3622,0.01136411,-2.9154891,-2.7152,-2.01091177
