,adj.P.Val,P.Value,t,B,logFC
M6PRBP1,5.17E-24,2.00E-26,-13.0800014,49.474283,-1.13023842
RASSF1,5.24E-24,2.04E-26,-13.0767199,49.454565,-0.54218796
C8ORF47,5.86E-24,2.29E-26,13.0573352,49.33807,0.60727866
GPR172A,6.03E-24,2.39E-26,-13.050238,49.295414,-0.75778724
NKD2,6.03E-24,2.37E-26,-13.0514138,49.302481,-0.80536889
KIAA1853,6.04E-24,2.41E-26,13.0489118,49.287443,0.78171295
OSMR,6.62E-24,2.66E-26,-13.0327449,49.190269,-0.62029992
PUS1,7.37E-24,2.98E-26,-13.0140449,49.077857,-0.57700583
TUBB,1.26E-23,5.12E-26,-12.9253221,48.54433,-0.8311715
TCEAL8,1.30E-23,5.32E-26,12.9188189,48.505212,0.45527793
ZNF187,1.31E-23,5.39E-26,12.9167987,48.49306,0.35062728
HS.467627,1.72E-23,7.13E-26,12.8708391,48.21656,0.81741469
ANKMY2,2.00E-23,8.37E-26,12.8444765,48.057926,0.73087151
GNA15,2.00E-23,8.40E-26,-12.8439552,48.054788,-0.64709466
INTU,2.02E-23,8.55E-26,12.8410515,48.037314,0.46874322
SDSL,2.14E-23,9.17E-26,12.8295861,47.968314,0.77736407
SELS,2.14E-23,9.10E-26,-12.8307357,47.975233,-0.73088829
UCHL5IP,2.29E-23,9.85E-26,-12.8178725,47.897815,-0.40921114
GATA2,2.75E-23,1.19E-25,-12.7866824,47.710075,-0.49055187
HMGN2,2.75E-23,1.20E-25,12.7858025,47.704779,0.59501978
VPS41,2.99E-23,1.31E-25,12.7706012,47.613267,0.41282556
C5ORF23,3.17E-23,1.40E-25,12.7603275,47.551416,1.23641501
GRASP,3.65E-23,1.62E-25,-12.7360374,47.405168,-0.61433469
YPEL1,3.68E-23,1.64E-25,12.7338189,47.39181,0.60677576
CNDP2,3.83E-23,1.72E-25,-12.7264493,47.347435,-0.507136
LOC148915,4.42E-23,2.00E-25,12.7019193,47.199719,0.6963943
SVIL,4.79E-23,2.18E-25,12.6877619,47.114457,0.60563912
MAP3K8,5.81E-23,2.66E-25,-12.6550519,46.917442,-0.67090414
MIDN,7.35E-23,3.38E-25,-12.6156373,46.680009,-0.96982126
SGK,8.33E-23,3.85E-25,-12.5941589,46.550606,-1.37177374
RASL11B,1.08E-22,5.04E-25,12.550053,46.284844,1.72416457
IRX2,1.12E-22,5.25E-25,12.5433189,46.244263,1.00377886
PDE5A,1.93E-22,9.07E-25,12.4536895,45.704051,0.76594484
MPP3,2.04E-22,9.66E-25,-12.4433444,45.64169,-0.81316384
TUBA1B,2.23E-22,1.06E-24,-12.428088,45.549718,-0.69774787
C20ORF27,2.26E-22,1.08E-24,-12.4251725,45.532142,-0.4794894
PLCE1,2.54E-22,1.22E-24,12.4048453,45.409594,1.02733242
CSNK1D,2.91E-22,1.41E-24,-12.3816194,45.269561,-0.55454195
IMPDH1,3.01E-22,1.47E-24,-12.3751294,45.23043,-0.48713022
VSIG4,3.21E-22,1.57E-24,-12.3639861,45.163242,-0.89744897
FCGR2A,3.79E-22,1.87E-24,-12.3348087,44.987307,-0.67767678
GFPT2,3.79E-22,1.87E-24,-12.3348169,44.987356,-0.94156681
DCUN1D3,3.94E-22,1.98E-24,-12.3259535,44.933909,-0.6332991
DDIT4,3.94E-22,1.97E-24,-12.3268444,44.939282,-1.3162531
KIAA0141,3.94E-22,1.96E-24,12.327555,44.943566,0.61170275
LOC255783,4.07E-22,2.06E-24,-12.3191832,44.893083,-0.65466918
LRRC49,4.07E-22,2.06E-24,12.3190238,44.892121,1.05950424
SLC16A9,4.29E-22,2.19E-24,12.3093518,44.833796,0.90381904
EGLN2,4.62E-22,2.37E-24,-12.2964146,44.755778,-0.40090615
PPARG,5.13E-22,2.65E-24,-12.2783548,44.646866,-0.46209046
PLEK,5.39E-22,2.79E-24,-12.2696494,44.594365,-0.78136572
DUSP1,5.77E-22,3.00E-24,-12.2576357,44.521911,-1.54401794
IRAK3,6.11E-22,3.20E-24,-12.2472696,44.459392,-0.65730869
ADAP2,6.16E-22,3.24E-24,-12.2451629,44.446686,-0.80810187
SLC39A1,6.18E-22,3.27E-24,-12.2437861,44.438382,-0.66537169
FGR,6.28E-22,3.35E-24,-12.2399226,44.415081,-0.73887268
PLTP,6.28E-22,3.35E-24,-12.239561,44.4129,-1.03681815
MARCO,6.52E-22,3.50E-24,-12.2325583,44.370664,-0.83039471
TERF1,6.59E-22,3.55E-24,12.2301147,44.355926,0.42264688
FERMT3,7.09E-22,3.84E-24,-12.2173601,44.278998,-0.47839867
HS.554507,8.29E-22,4.51E-24,12.1908855,44.119315,0.54620611
SLC25A28,8.80E-22,4.81E-24,-12.180417,44.056172,-0.55768188
C1QTNF1,9.29E-22,5.10E-24,-12.1707098,43.99762,-1.29747583
TRMT5,9.62E-22,5.31E-24,12.1641505,43.958055,0.65560296
ARS2,1.05E-21,5.80E-24,-12.1498102,43.871555,-0.42929386
SLC7A1,1.60E-21,8.94E-24,-12.0789042,43.443834,-1.11346968
CCDC28A,1.81E-21,1.01E-23,12.0584842,43.320652,0.60869273
RARRES1,1.81E-21,1.02E-23,-12.057447,43.314395,-1.35269816
LOC730534,1.89E-21,1.07E-23,12.0497783,43.268134,0.65265905
SERPINA5,1.97E-21,1.12E-23,-12.0421474,43.2221,-0.83576884
SFRP1,2.07E-21,1.18E-23,12.0333426,43.168985,1.73011623
C21ORF34,2.16E-21,1.24E-23,12.0254568,43.121414,0.67868724
TOMM40,2.29E-21,1.32E-23,-12.0149984,43.058323,-0.63926619
SLC47A1,2.35E-21,1.36E-23,12.0100571,43.028514,0.66244515
SMAP2,2.38E-21,1.38E-23,-12.0077397,43.014535,-0.62261482
BCL3,2.40E-21,1.40E-23,-12.005096,42.998586,-0.67773803
LTBR,2.68E-21,1.57E-23,-11.9867821,42.888106,-0.8653962
DUSP23,3.05E-21,1.80E-23,-11.9644683,42.753497,-0.67525014
TYROBP,3.13E-21,1.86E-23,-11.9593738,42.722764,-1.13968476
CRYM,3.15E-21,1.87E-23,11.9578325,42.713466,0.99151093
HOPX,3.56E-21,2.12E-23,-11.9372112,42.589068,-1.50823527
DUSP26,3.94E-21,2.36E-23,11.9198927,42.484594,0.7188
BATF3,4.04E-21,2.43E-23,-11.9149187,42.454588,-0.56863392
PDIA3P,4.19E-21,2.55E-23,-11.9075784,42.410308,-1.05199889
PLAUR,4.19E-21,2.54E-23,-11.9080048,42.41288,-0.5739485
RGS4,4.21E-21,2.57E-23,11.9059075,42.400229,1.21952652
MS4A7,4.31E-21,2.64E-23,-11.9013915,42.372986,-0.76634935
CCND1,5.20E-21,3.20E-23,11.8701327,42.184423,0.81354316
LOC644128,5.25E-21,3.25E-23,11.8676548,42.169475,0.52716351
ICK,5.71E-21,3.54E-23,11.8533775,42.083351,0.45345823
TUBA1C,6.16E-21,3.84E-23,-11.8401216,42.00339,-0.97828662
ITGAM,6.51E-21,4.08E-23,-11.8303541,41.944472,-0.56781138
SNRPB,6.82E-21,4.29E-23,-11.8221139,41.894767,-0.71014662
DDOST,7.14E-21,4.51E-23,-11.81397,41.845643,-0.86062621
EDNRA,7.16E-21,4.54E-23,11.8127485,41.838275,0.91151491
TJP1,7.97E-21,5.07E-23,11.7946694,41.729225,0.5005109
COL21A1,8.29E-21,5.30E-23,11.7874935,41.685942,1.06736612
ECGF1,8.51E-21,5.46E-23,-11.7825378,41.656051,-1.27609594
CAPRIN1,8.63E-21,5.57E-23,11.779461,41.637492,0.42262898
ERRFI1,9.23E-21,5.98E-23,-11.7678453,41.567431,-0.77385363
METTL7B,9.23E-21,6.00E-23,-11.76728,41.564022,-1.35576942
PLEKHF1,9.54E-21,6.22E-23,-11.7611577,41.527096,-1.14355681
PHLDB2,1.08E-20,7.07E-23,11.7404103,41.401961,0.76300359
SH3BGRL3,1.12E-20,7.34E-23,-11.734229,41.36468,-1.09046293
C19ORF10,1.21E-20,7.99E-23,-11.7203572,41.281018,-1.24273035
GLA,1.30E-20,8.59E-23,-11.7083964,41.208883,-0.51062561
MS4A6A,1.31E-20,8.72E-23,-11.7060367,41.194653,-1.01331779
FLJ20021,1.69E-20,1.13E-22,11.663113,40.935799,0.4253593
HRASLS,1.78E-20,1.19E-22,11.6547191,40.885182,0.54901157
CDC42EP2,1.81E-20,1.22E-22,-11.6509823,40.862649,-0.57423536
EIF4G1,1.95E-20,1.32E-22,-11.6384567,40.78712,-0.52144732
NCF4,1.98E-20,1.35E-22,-11.6347448,40.764738,-0.32460264
FRMD5,2.07E-20,1.41E-22,11.6272802,40.719728,0.84333319
SLC11A1,2.08E-20,1.43E-22,-11.6253598,40.708148,-0.57544124
OMA1,2.12E-20,1.45E-22,11.6223155,40.689792,0.55871832
LOC642031,2.15E-20,1.48E-22,-11.618973,40.669638,-0.69050697
EPB41L5,2.26E-20,1.56E-22,11.6104555,40.618282,0.42279125
DHX37,2.45E-20,1.70E-22,-11.5964054,40.53357,-0.61144058
VPS45,2.82E-20,1.97E-22,11.572768,40.391061,0.48335456
KLF6,3.17E-20,2.22E-22,-11.55273,40.27026,-0.84822683
SLC2A1,3.19E-20,2.25E-22,-11.5510109,40.259897,-0.7696953
SEC61A1,3.37E-20,2.38E-22,-11.5418057,40.204406,-0.6762119
HLTF,3.64E-20,2.58E-22,11.5285509,40.124506,0.50427715
ZNF20,3.65E-20,2.60E-22,11.5272195,40.11648,0.31011811
ENO1,3.97E-20,2.84E-22,-11.5127185,40.029073,-0.82281453
LOC201140,3.97E-20,2.84E-22,-11.5125069,40.027797,-1.45345422
SLC39A3,3.99E-20,2.87E-22,-11.5110258,40.01887,-0.39413038
ATP1A2,4.09E-20,2.95E-22,11.5063019,39.990397,1.27397672
KYNU,4.25E-20,3.08E-22,-11.4993786,39.948668,-0.41263336
EML3,5.78E-20,4.20E-22,-11.4482939,39.640798,-0.61171238
LOC158376,6.28E-20,4.58E-22,-11.4342975,39.556457,-0.53427313
TEAD4,6.96E-20,5.09E-22,-11.4168589,39.451382,-0.85516777
KLHDC9,7.07E-20,5.19E-22,11.4135959,39.431721,0.7688161
ATP6V1G2,7.11E-20,5.25E-22,11.4117207,39.420423,0.29518451
TBXAS1,7.11E-20,5.26E-22,-11.4114447,39.41876,-0.62154582
FBXO38,7.35E-20,5.46E-22,11.4054285,39.382512,0.37769853
GATM,7.50E-20,5.62E-22,11.4005125,39.352894,1.18507887
SLC1A5,7.50E-20,5.61E-22,-11.4008077,39.354673,-0.51820311
TMEM189,7.50E-20,5.59E-22,-11.4014579,39.35859,-0.46595717
TNFRSF1A,8.01E-20,6.03E-22,-11.3891245,39.284285,-0.75144256
SERPINH1,8.02E-20,6.06E-22,-11.388247,39.278999,-1.15471685
ELL2,8.04E-20,6.10E-22,-11.3872561,39.273029,-1.12765235
ARPC3,8.34E-20,6.35E-22,-11.3807017,39.233543,-1.40689578
LOC387763,9.47E-20,7.23E-22,-11.3593287,39.104793,-1.06245875
COL6A2,1.08E-19,8.29E-22,-11.3369193,38.969814,-0.7120409
HYAL2,1.09E-19,8.37E-22,-11.3354261,38.96082,-0.59336157
ATP1A1,1.10E-19,8.52E-22,-11.3323883,38.942524,-0.91209699
GSDMD,1.30E-19,1.01E-21,-11.304746,38.77605,-0.61556182
ORC3L,1.32E-19,1.02E-21,11.3025369,38.762747,0.41017041
RASSF9,1.37E-19,1.07E-21,11.2948708,38.716584,0.45034422
CRBN,1.38E-19,1.08E-21,11.2942016,38.712554,0.52672757
LCN6,1.38E-19,1.08E-21,-11.2931853,38.706434,-0.90930678
CD53,1.88E-19,1.48E-21,-11.2414706,38.395073,-0.3518052
ACVR1B,1.92E-19,1.52E-21,-11.2374323,38.370763,-0.31383101
ZNF787,1.94E-19,1.54E-21,-11.2355399,38.359371,-0.61741571
ZYX,2.30E-19,1.83E-21,-11.2071322,38.188381,-0.81995149
HM13,2.53E-19,2.02E-21,-11.1906747,38.089334,-0.3080637
RGS19,2.63E-19,2.10E-21,-11.1842577,38.050718,-0.48953059
RDH10,2.84E-19,2.28E-21,-11.170992,37.970891,-0.61599311
C3,2.85E-19,2.31E-21,-11.1689849,37.958814,-0.41811648
HS.561526,2.85E-19,2.31E-21,11.1689669,37.958706,0.54108119
KLHL12,2.92E-19,2.37E-21,11.164406,37.931262,0.38806161
C5ORF41,2.96E-19,2.41E-21,11.1617976,37.915568,0.60177663
FZD2,3.09E-19,2.52E-21,11.1543271,37.87062,0.80247697
LOC729843,3.17E-19,2.59E-21,11.1497648,37.84317,0.55055009
FKBP2,3.33E-19,2.73E-21,-11.1411202,37.791162,-0.68303089
CYBB,3.34E-19,2.75E-21,-11.1402091,37.785681,-0.7699016
PARVG,3.36E-19,2.78E-21,-11.1386282,37.77617,-0.47413453
HS.408455,3.40E-19,2.82E-21,11.1360372,37.760583,0.51506974
ENDOGL1,3.46E-19,2.88E-21,-11.1328262,37.741266,-0.85656541
SLC37A4,3.68E-19,3.08E-21,-11.1217728,37.674774,-0.44351829
PTPN11,3.70E-19,3.10E-21,11.1204437,37.666779,0.59830606
DIO2,3.75E-19,3.15E-21,11.1180465,37.65236,0.90243037
ARHGAP24,4.01E-19,3.38E-21,11.1062266,37.581264,0.55305226
NDUFA4L2,4.07E-19,3.44E-21,-11.103456,37.5646,-0.67036242
ASPSCR1,4.29E-19,3.64E-21,-11.0941288,37.508503,-0.38210988
PGD,4.35E-19,3.70E-21,-11.0913369,37.491712,-0.47171617
ATP6V0C,4.53E-19,3.88E-21,-11.0837166,37.445885,-0.41069345
C19ORF51,4.53E-19,3.86E-21,11.0843111,37.44946,0.4836829
BEST1,4.60E-19,3.95E-21,-11.0806336,37.427345,-0.36644029
MERTK,5.00E-19,4.31E-21,-11.0665662,37.342754,-0.5031292
GPR4,5.05E-19,4.36E-21,-11.0644559,37.330065,-0.82936927
PAFAH2,5.21E-19,4.52E-21,11.0586382,37.295085,0.5150531
TMBIM1,5.27E-19,4.58E-21,-11.0563562,37.281365,-0.67239057
GRM1,5.63E-19,4.91E-21,11.0451171,37.213793,0.80894777
CTSB,5.80E-19,5.07E-21,-11.0396787,37.181098,-0.5746601
SYNPO2L,5.98E-19,5.25E-21,11.034024,37.147104,0.89738719
TGFBR2,6.64E-19,5.85E-21,-11.0163479,37.040852,-0.53690627
CHSY1,7.01E-19,6.19E-21,-11.0070216,36.984797,-0.63798806
NLGN2,7.11E-19,6.29E-21,-11.0043129,36.968517,-0.47660876
HEPH,7.14E-19,6.34E-21,11.0031017,36.961237,0.60632964
AGXT2L1,7.26E-19,6.46E-21,-10.999824,36.941539,-1.16936905
TNKS1BP1,7.39E-19,6.60E-21,-10.9962963,36.920338,-0.47106124
ALG3,7.54E-19,6.76E-21,-10.9925426,36.89778,-0.44290921
LRRC1,7.72E-19,6.93E-21,10.9882761,36.872141,0.38394959
NUP62CL,8.12E-19,7.32E-21,10.979361,36.818569,0.63259391
HTRA1,8.85E-19,8.00E-21,10.9648392,36.731315,0.85114527
RBPMS2,9.20E-19,8.34E-21,-10.957968,36.690032,-0.52513679
TRABD,9.86E-19,8.96E-21,-10.9461046,36.618763,-0.43780718
DCLK1,1.06E-18,9.65E-21,-10.9339854,36.545964,-0.42450649
MKNK2,1.09E-18,9.96E-21,-10.928733,36.514416,-0.5721077
FKBP11,1.11E-18,1.02E-20,-10.9252178,36.493303,-0.85357961
COL16A1,1.14E-18,1.05E-20,10.9208378,36.466996,0.83553673
NAP1L3,1.18E-18,1.09E-20,10.9144382,36.428562,0.78406999
RAB28,1.23E-18,1.13E-20,10.9075694,36.387312,0.51770943
KIAA1191,1.33E-18,1.23E-20,10.8939936,36.305791,0.41509509
DARC,1.34E-18,1.25E-20,-10.8916047,36.291447,-1.01315553
MME,1.53E-18,1.43E-20,10.8693734,36.157976,0.39351929
MAPK13,1.55E-18,1.45E-20,-10.8665281,36.140895,-0.42661037
C21ORF51,1.61E-18,1.51E-20,10.8601581,36.102657,0.47272197
TMBIM6,1.61E-18,1.51E-20,-10.8598203,36.10063,-0.47104215
NBPF20,1.66E-18,1.56E-20,-10.8544811,36.068581,-1.05681739
HPCAL1,1.84E-18,1.75E-20,-10.8365228,35.960799,-0.46956463
HSPA1L,1.85E-18,1.75E-20,10.8359396,35.957298,0.35950397
DNAJC21,2.05E-18,1.95E-20,10.8185032,35.852666,0.28593539
JAG2,2.11E-18,2.02E-20,-10.8126644,35.817633,-0.46863009
NPL,2.16E-18,2.06E-20,-10.8090121,35.79572,-0.45604154
ALS2CR13,2.18E-18,2.09E-20,10.8065257,35.780802,0.50355467
TSPYL3,2.23E-18,2.15E-20,10.8025307,35.756834,0.3394377
HS.58597,2.40E-18,2.31E-20,10.7900232,35.681802,0.40669482
