"","ID","adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title","symbol"
"SLC44A1","224595_at",0.0019036,2.99e-06,6.85,4.79178,1.25279274,"SLC44A1","solute carrier family 44 member 1","SLC44A1"
"GMCL1","218458_at",0.0019137,3.05e-06,6.84,4.77619,0.93777677,"GMCL1","germ cell-less, spermatogenesis associated 1","GMCL1"
"SYNE1","215350_at",0.0020462,3.47e-06,-6.77,4.6562,-1.35330317,"SYNE1","spectrin repeat containing nuclear envelope protein 1","SYNE1"
"LINC01116","228564_at",0.0020462,3.52e-06,6.76,4.6426,2.78891521,"LINC01116","long intergenic non-protein coding RNA 1116","LINC01116"
"GULP1","204237_at",0.0020921,3.68e-06,6.74,4.60101,1.33652511,"GULP1","GULP, engulfment adaptor PTB domain containing 1","GULP1"
"SMOC2","223235_s_at",0.0020921,3.69e-06,6.74,4.59794,2.4498626,"SMOC2","SPARC related modular calcium binding 2","SMOC2"
"OGN","222722_at",0.0021138,3.87e-06,6.71,4.55511,2.9522514,"OGN","osteoglycin","OGN"
"ZNF654","219239_s_at",0.0022301,4.28e-06,6.66,4.46001,1.07989971,"ZNF654","zinc finger protein 654","ZNF654"
"TNRC6A","233836_at",0.0022301,4.32e-06,-6.65,4.45225,-2.38671904,"TNRC6A","trinucleotide repeat containing 6A","TNRC6A"
"F2R","203989_x_at",0.0022366,4.38e-06,6.65,4.43992,1.35502457,"F2R","coagulation factor II thrombin receptor","F2R"
"MALAT1","228582_x_at",0.0022604,4.55e-06,-6.63,4.40387,-2.28341097,"MALAT1","metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)","MALAT1"
"TGM2","201042_at",0.0022604,4.57e-06,-6.62,4.39948,-1.32531814,"TGM2","transglutaminase 2","TGM2"
"ACTR2","234210_x_at",0.0022604,4.59e-06,-6.62,4.39602,-0.97116718,"ACTR2","ARP2 actin related protein 2 homolog","ACTR2"
"ANTXR1","224694_at",0.0023446,4.8e-06,6.6,4.3537,1.54520943,"ANTXR1","anthrax toxin receptor 1","ANTXR1"
"TBL1XR1","235890_at",0.0023672,4.93e-06,-6.58,4.32916,-1.16322142,"TBL1XR1","transducin (beta)-like 1 X-linked receptor 1","TBL1XR1"
"CPB1","205509_at",0.0023891,5.03e-06,6.57,4.31166,2.26237623,"CPB1","carboxypeptidase B1","CPB1"
"TMEM98","223170_at",0.0024606,5.27e-06,6.55,4.26823,1.42671075,"TMEM98","transmembrane protein 98","TMEM98"
"KLK7","205778_at",0.0025817,5.57e-06,6.52,4.21562,1.48696449,"KLK7","kallikrein related peptidase 7","KLK7"
"ZYG11A","231517_at",0.0025935,5.64e-06,6.51,4.2035,1.96006603,"ZYG11A","zyg-11 family member A, cell cycle regulator","ZYG11A"
"SPRYD3","225134_at",0.0025945,5.73e-06,-6.5,4.18999,-0.86227492,"SPRYD3","SPRY domain containing 3","SPRYD3"
"COL14A1","212865_s_at",0.0026606,5.94e-06,6.48,4.15657,2.67411349,"COL14A1","collagen type XIV alpha 1 chain","COL14A1"
"GDAP2","1554154_at",0.0026748,6.07e-06,-6.47,4.13663,-1.49563758,"GDAP2","ganglioside induced differentiation associated protein 2","GDAP2"
"USP34","207365_x_at",0.0026748,6.15e-06,-6.47,4.12327,-1.15882239,"USP34","ubiquitin specific peptidase 34","USP34"
"ZBTB20","226250_at",0.0026748,6.16e-06,6.46,4.12155,1.31480633,"ZBTB20","zinc finger and BTB domain containing 20","ZBTB20"
"TRIM4","224159_x_at",0.0026992,6.27e-06,-6.46,4.10573,-1.03004432,"TRIM4","tripartite motif containing 4","TRIM4"
"TMEM120B","219154_at",0.0028213,6.61e-06,-6.43,4.0572,-0.968093,"TMEM120B","transmembrane protein 120B","TMEM120B"
"CDK11A","211289_x_at",0.0028506,6.78e-06,-6.41,4.03313,-1.24107162,"CDK11A///CDK11B","cyclin dependent kinase 11A///cyclin dependent kinase 11B","CDK11A"
"FBXW12","215600_x_at",0.002856,6.84e-06,-6.41,4.02424,-1.09118863,"FBXW12","F-box and WD repeat domain containing 12","FBXW12"
"MSC-AS1","228438_at",0.0029061,7.07e-06,6.39,3.99389,1.11325031,"MSC-AS1","MSC antisense RNA 1","MSC-AS1"
"TMSB4Y","206769_at",0.0031279,7.7e-06,-6.35,3.91385,-2.70008985,"TMSB4Y","thymosin beta 4, Y-linked","TMSB4Y"
"C14orf132","231859_at",0.0031279,7.72e-06,6.35,3.91135,2.85586757,"C14orf132","chromosome 14 open reading frame 132","C14orf132"
"TLR10","223751_x_at",0.0031586,8.11e-06,6.32,3.86556,1.79175723,"TLR10","toll like receptor 10","TLR10"
"BMP5","205431_s_at",0.0031586,8.2e-06,6.31,3.85506,1.00384849,"BMP5","bone morphogenetic protein 5","BMP5"
"SPIDR","213003_s_at",0.0031776,8.31e-06,-6.31,3.84291,-2.28270377,"SPIDR","scaffolding protein involved in DNA repair","SPIDR"
"NUP58","241425_at",0.0032004,8.43e-06,-6.3,3.82973,-2.64867888,"NUP58","nucleoporin 58","NUP58"
"OGFRL1","226810_at",0.0032085,8.51e-06,6.3,3.8209,1.28031808,"OGFRL1","opioid growth factor receptor like 1","OGFRL1"
"FRZB","203697_at",0.0032338,8.71e-06,6.28,3.79926,2.07122498,"FRZB","frizzled-related protein","FRZB"
"CFH","213800_at",0.0032989,9.17e-06,6.26,3.7514,2.25353665,"CFH","complement factor H","CFH"
"DZIP1","204557_s_at",0.0032989,9.26e-06,6.25,3.74175,1.18328888,"DZIP1","DAZ interacting zinc finger protein 1","DZIP1"
"BRF1","1552399_a_at",0.0032989,9.31e-06,-6.25,3.7364,-1.63996458,"BRF1","BRF1, RNA polymerase III transcription initiation factor 90 kDa subunit","BRF1"
"NSUN6","222128_at",0.0032989,9.32e-06,-6.25,3.73596,-1.28883637,"NSUN6","NOP2/Sun RNA methyltransferase family member 6","NSUN6"
"RAPGEF6","1555247_a_at",0.0033619,9.59e-06,6.23,3.70894,1.21074525,"RAPGEF6","Rap guanine nucleotide exchange factor 6","RAPGEF6"
"NT5E","227486_at",0.0036828,1.08e-05,6.17,3.60001,3.08272091,"NT5E","5'-nucleotidase ecto","NT5E"
"NRK","227971_at",0.0037516,1.11e-05,6.16,3.57107,1.88836255,"NRK","Nik related kinase","NRK"
"TCP11L2","1569206_at",0.0038036,1.14e-05,6.14,3.5467,1.27329511,"TCP11L2","t-complex 11 like 2","TCP11L2"
"RBM6","1556672_a_at",0.0039761,1.21e-05,-6.11,3.49382,-1.26029212,"RBM6","RNA binding motif protein 6","RBM6"
"MTMR9","204837_at",0.0039959,1.22e-05,6.11,3.48355,0.85192949,"MTMR9","myotubularin related protein 9","MTMR9"
"FLII","212024_x_at",0.0040912,1.26e-05,-6.09,3.45587,-1.00990738,"FLII","FLII, actin remodeling protein","FLII"
"ZNF431","232338_at",0.0041324,1.28e-05,-6.08,3.43539,-1.04246556,"ZNF431","zinc finger protein 431","ZNF431"
"POU2F2","242866_x_at",0.0041839,1.32e-05,-6.07,3.41284,-1.77460063,"POU2F2","POU class 2 homeobox 2","POU2F2"
"SNORA21","215224_at",0.004222,1.34e-05,-6.06,3.39891,-1.9158674,"SNORA21","small nucleolar RNA, H/ACA box 21","SNORA21"
"ARHGEF10L","1570511_at",0.0043186,1.39e-05,-6.04,3.36161,-1.18039322,"ARHGEF10L","Rho guanine nucleotide exchange factor 10 like","ARHGEF10L"
"CTU2","1561500_at",0.0043247,1.4e-05,-6.04,3.35496,-1.85123214,"CTU2","cytosolic thiouridylase subunit 2","CTU2"
"SSPN","204963_at",0.004349,1.43e-05,6.03,3.33739,2.00953218,"SSPN","sarcospan","SSPN"
"NR5A2","1560469_at",0.004349,1.43e-05,-6.03,3.33459,-2.56049967,"NR5A2","nuclear receptor subfamily 5 group A member 2","NR5A2"
"MYO16","215119_at",0.0043766,1.46e-05,-6.02,3.31765,-2.41865706,"MYO16","myosin XVI","MYO16"
"RFX2","208031_s_at",0.0043803,1.47e-05,-6.01,3.30925,-1.49989099,"RFX2","regulatory factor X2","RFX2"
"PLEKHH2","243650_at",0.0043803,1.47e-05,6.01,3.30662,1.25565725,"PLEKHH2","pleckstrin homology, MyTH4 and FERM domain containing H2","PLEKHH2"
"CFLAR","239629_at",0.0044937,1.53e-05,-5.99,3.2725,-1.11362344,"CFLAR","CASP8 and FADD like apoptosis regulator","CFLAR"
"TBC1D8","221592_at",0.0044994,1.56e-05,-5.98,3.25233,-1.82031008,"TBC1D8","TBC1 domain family member 8","TBC1D8"
"C1orf54","219506_at",0.0044994,1.56e-05,5.98,3.25198,1.48338648,"C1orf54","chromosome 1 open reading frame 54","C1orf54"
"LOC728061","233599_at",0.0044994,1.56e-05,-5.98,3.25136,-2.57026469,"LOC728061","hCG2003663","LOC728061"
"EHD4","239472_at",0.0045156,1.58e-05,-5.98,3.24305,-2.41397949,"EHD4","EH domain containing 4","EHD4"
"PCNX1","215175_at",0.004529,1.6e-05,-5.97,3.2305,-1.48454396,"PCNX1","pecanex homolog 1 (Drosophila)","PCNX1"
"TUBB4B","213726_x_at",0.0045982,1.63e-05,-5.96,3.21143,-1.1000801,"TUBB4B","tubulin beta 4B class IVb","TUBB4B"
"NUDT4P1","206303_s_at",0.0047662,1.71e-05,-5.94,3.16811,-1.45569906,"NUDT4P1///NUDT4P2///NUDT4","nudix hydrolase 4 pseudogene 1///nudix hydrolase 4 pseudogene 2///nudix hydrolase 4","NUDT4P1"
"TNFSF13B","223501_at",0.0051164,1.87e-05,5.89,3.08191,1.05596749,"TNFSF13B","tumor necrosis factor superfamily member 13b","TNFSF13B"
"ATP1B1","201243_s_at",0.0051164,1.89e-05,-5.88,3.07322,-0.82211749,"ATP1B1","ATPase Na+/K+ transporting subunit beta 1","ATP1B1"
"DHX9","202420_s_at",0.0051497,1.92e-05,-5.88,3.05786,-1.06078634,"DHX9","DEAH-box helicase 9","DHX9"
"NOTCH1","223508_at",0.0052082,1.98e-05,-5.86,3.03007,-1.96093553,"NOTCH1","notch 1","NOTCH1"
"COLCA1","238701_x_at",0.0052082,1.98e-05,-5.86,3.029,-0.84563554,"COLCA1","colorectal cancer associated 1","COLCA1"
"OMD","205907_s_at",0.0053326,2.04e-05,5.85,3.00231,2.68379334,"OMD","osteomodulin","OMD"
"FIBIN","231001_at",0.0054401,2.09e-05,5.83,2.9788,1.60843249,"FIBIN","fin bud initiation factor homolog (zebrafish)","FIBIN"
"SLC25A16","210686_x_at",0.005444,2.11e-05,-5.83,2.96948,-0.82116376,"SLC25A16","solute carrier family 25 member 16","SLC25A16"
"CYP2A6","207244_x_at",0.0054708,2.14e-05,-5.82,2.95732,-1.23923111,"CYP2A6","cytochrome P450 family 2 subfamily A member 6","CYP2A6"
"CASR","210577_at",0.0055039,2.17e-05,5.81,2.94162,1.78959265,"CASR","calcium sensing receptor","CASR"
"RIN3","222069_s_at",0.005729,2.28e-05,-5.79,2.89525,-2.27615871,"RIN3","Ras and Rab interactor 3","RIN3"
"SLC7A6","203578_s_at",0.0057395,2.31e-05,-5.78,2.88314,-1.01095368,"SLC7A6","solute carrier family 7 member 6","SLC7A6"
"MYL6","214002_at",0.0057395,2.32e-05,-5.78,2.88112,-1.16185159,"MYL6","myosin light chain 6","MYL6"
"HAUS2","220071_x_at",0.0057624,2.34e-05,-5.78,2.87268,-1.1535358,"HAUS2","HAUS augmin like complex subunit 2","HAUS2"
"TACC1","217437_s_at",0.0059831,2.46e-05,5.75,2.82644,1.35073279,"TACC1","transforming acidic coiled-coil containing protein 1","TACC1"
"PLSCR4","218901_at",0.0059831,2.46e-05,5.75,2.8247,1.36141808,"PLSCR4","phospholipid scramblase 4","PLSCR4"
"C21orf2","203996_s_at",0.0061009,2.56e-05,-5.73,2.78802,-2.25804053,"C21orf2","chromosome 21 open reading frame 2","C21orf2"
"UBE2G1","226005_at",0.0061009,2.58e-05,-5.73,2.78196,-0.7572538,"UBE2G1","ubiquitin conjugating enzyme E2 G1","UBE2G1"
"MINOS1-NBL1","37005_at",0.0061009,2.58e-05,5.73,2.78158,1.09090291,"MINOS1-NBL1///NBL1","MINOS1-NBL1 readthrough///neuroblastoma 1, DAN family BMP antagonist","MINOS1-NBL1"
"STRN","215287_at",0.006103,2.62e-05,-5.72,2.76467,-0.9622789,"STRN","striatin","STRN"
"CTSK","202450_s_at",0.0062223,2.71e-05,5.7,2.73493,1.30591851,"CTSK","cathepsin K","CTSK"
"LOC727820","227383_at",0.0062871,2.78e-05,-5.69,2.71159,-1.76412615,"LOC727820","uncharacterized LOC727820","LOC727820"
"CD1E","215784_at",0.0062871,2.78e-05,5.69,2.70948,2.40625713,"CD1E","CD1e molecule","CD1E"
"TMEFF2","224321_at",0.0063364,2.82e-05,-5.68,2.69825,-1.84030941,"TMEFF2","transmembrane protein with EGF like and two follistatin like domains 2","TMEFF2"
"TRIM29","202504_at",0.0064232,2.87e-05,5.67,2.68118,2.34696741,"TRIM29","tripartite motif containing 29","TRIM29"
"RAPGEF2","238176_at",0.0064232,2.91e-05,-5.67,2.66852,-2.12426202,"RAPGEF2","Rap guanine nucleotide exchange factor 2","RAPGEF2"
"POLK","223260_s_at",0.0064232,2.94e-05,5.66,2.65923,0.73457535,"POLK","DNA polymerase kappa","POLK"
"TBC1D3I","209403_at",0.0064232,2.95e-05,-5.66,2.65459,-2.33819488,"TBC1D3I///TBC1D3E///LOC101060389///TBC1D3L///TBC1D3K///TBC1D3G///TBC1D3H///TBC1D3///TBC1D3C///TBC1D3F","TBC1 domain family member 3I///TBC1 domain family member 3E///TBC1 domain family member-like///TBC1 domain family member 3L///TBC1 domain family member 3K///TBC1 domain family member 3G///TBC1 domain family member 3H///TBC1 domain family member 3///TBC1 domain family member 3C///TBC1 domain family member 3F","TBC1D3I"
"CBL","225234_at",0.0064232,2.96e-05,-5.66,2.65117,-0.80087391,"CBL","Cbl proto-oncogene","CBL"
"SPATA13","1556601_a_at",0.0064671,2.99e-05,-5.65,2.64103,-2.39135236,"SPATA13","spermatogenesis associated 13","SPATA13"
"SLC10A3","204928_s_at",0.0064773,3.01e-05,-5.65,2.63558,-1.71394429,"SLC10A3","solute carrier family 10 member 3","SLC10A3"
"FAP","209955_s_at",0.0064773,3.03e-05,5.65,2.62844,2.81910197,"FAP","fibroblast activation protein alpha","FAP"
"GS1-124K5.4","239896_at",0.0065189,3.07e-05,5.64,2.61569,1.52763594,"GS1-124K5.4","uncharacterized LOC100289098","GS1-124K5.4"
"LRRC17","205381_at",0.0065189,3.08e-05,5.64,2.61507,2.242993,"LRRC17","leucine rich repeat containing 17","LRRC17"
"OGDH","201282_at",0.006554,3.1e-05,-5.63,2.60637,-0.9166704,"OGDH","oxoglutarate dehydrogenase","OGDH"
"NUP153","239948_at",0.0066278,3.21e-05,-5.62,2.57467,-1.74256509,"NUP153","nucleoporin 153","NUP153"
"CTHRC1","225681_at",0.0066278,3.21e-05,5.62,2.57397,1.71129308,"CTHRC1","collagen triple helix repeat containing 1","CTHRC1"
"WDR36","238677_at",0.0066278,3.22e-05,5.62,2.57069,0.78522378,"WDR36","WD repeat domain 36","WDR36"
"CSNK1A1","1556006_s_at",0.0069492,3.41e-05,-5.59,2.51899,-1.26687989,"CSNK1A1","casein kinase 1 alpha 1","CSNK1A1"
"TAF15","227891_s_at",0.0070195,3.45e-05,-5.58,2.50599,-0.96916364,"TAF15","TATA-box binding protein associated factor 15","TAF15"
"RANBP6","213019_at",0.0070881,3.56e-05,-5.57,2.4773,-0.7977217,"RANBP6","RAN binding protein 6","RANBP6"
"OSBPL10","216755_at",0.0070881,3.56e-05,-5.57,2.47643,-1.47984478,"OSBPL10","oxysterol binding protein like 10","OSBPL10"
"IGF1","209542_x_at",0.0071025,3.6e-05,5.56,2.46727,3.30877128,"IGF1","insulin like growth factor 1","IGF1"
"TCF4","222146_s_at",0.0072098,3.68e-05,5.55,2.44634,1.0369014,"TCF4","transcription factor 4","TCF4"
"CCL2","216598_s_at",0.0072897,3.73e-05,-5.54,2.43257,-4.78769034,"CCL2","C-C motif chemokine ligand 2","CCL2"
"KLF12","214276_at",0.0073974,3.85e-05,5.53,2.40272,1.05847208,"KLF12","Kruppel like factor 12","KLF12"
"SVEP1","213247_at",0.0074997,3.94e-05,5.52,2.38249,0.98687872,"SVEP1","sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1","SVEP1"
"MEIS1","204069_at",0.0075756,3.99e-05,-5.51,2.3697,-1.18285847,"MEIS1","Meis homeobox 1","MEIS1"
"EMC9","219203_at",0.0076554,4.05e-05,-5.5,2.35655,-1.96034577,"EMC9","ER membrane protein complex subunit 9","EMC9"
"NPAS2","205459_s_at",0.0077224,4.17e-05,-5.49,2.3272,-0.99438803,"NPAS2","neuronal PAS domain protein 2","NPAS2"
"LRP10","227252_at",0.0078174,4.28e-05,-5.48,2.30311,-1.29651021,"LRP10","LDL receptor related protein 10","LRP10"
"ANKRD20A4","224012_at",0.0078174,4.29e-05,-5.47,2.30245,-2.33137356,"ANKRD20A4///ANKRD20A2///ANKRD20A3///ANKRD20A1","ankyrin repeat domain 20 family member A4///ankyrin repeat domain 20 family member A2///ankyrin repeat domain 20 family member A3///ankyrin repeat domain 20 family member A1","ANKRD20A4"
"PLEC","216971_s_at",0.0078174,4.32e-05,-5.47,2.2956,-1.05143272,"PLEC","plectin","PLEC"
"TMEM30B","213285_at",0.0078174,4.34e-05,5.47,2.29106,1.50388739,"TMEM30B","transmembrane protein 30B","TMEM30B"
"ZCCHC5","1552935_at",0.0078174,4.35e-05,5.47,2.28758,0.98298343,"ZCCHC5","zinc finger CCHC-type containing 5","ZCCHC5"
"INO80B-WBP1","223072_s_at",0.0078174,4.37e-05,5.46,2.28383,1.97720265,"INO80B-WBP1///INO80B///WBP1","INO80B-WBP1 readthrough (NMD candidate)///INO80 complex subunit B///WW domain binding protein 1","INO80B-WBP1"
"ESR1","205225_at",0.0078349,4.44e-05,5.46,2.26971,1.15859602,"ESR1","estrogen receptor 1","ESR1"
"FAM46B","229518_at",0.0078349,4.44e-05,-5.46,2.26848,-1.91653585,"FAM46B","family with sequence similarity 46 member B","FAM46B"
"RNF125","207735_at",0.0079333,4.51e-05,5.45,2.25365,1.31607604,"RNF125","ring finger protein 125","RNF125"
"ASPN","224396_s_at",0.0079776,4.56e-05,5.44,2.24384,3.14153355,"ASPN","asporin","ASPN"
"DOCK4","244840_x_at",0.0079776,4.58e-05,-5.44,2.23922,-1.74849869,"DOCK4","dedicator of cytokinesis 4","DOCK4"
"OBSCN","229854_at",0.0079776,4.59e-05,-5.44,2.23722,-1.02144052,"OBSCN","obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF","OBSCN"
"ASXL2","218659_at",0.0079776,4.6e-05,-5.44,2.23632,-0.78595047,"ASXL2","additional sex combs like 2, transcriptional regulator","ASXL2"
"EPHA3","206070_s_at",0.0081202,4.78e-05,5.42,2.19935,1.7350118,"EPHA3","EPH receptor A3","EPHA3"
"PNMA2","209598_at",0.0081202,4.78e-05,5.42,2.19884,0.90801598,"PNMA2","paraneoplastic Ma antigen 2","PNMA2"
"FRMD4A","208476_s_at",0.0082177,4.87e-05,-5.41,2.1822,-1.20278692,"FRMD4A","FERM domain containing 4A","FRMD4A"
"NOXRED1","231566_at",0.0082177,4.87e-05,5.41,2.18172,1.55006934,"NOXRED1","NADP dependent oxidoreductase domain containing 1","NOXRED1"
"LOC101927038","243035_at",0.0082753,4.94e-05,5.4,2.1684,1.30345794,"LOC101927038","uncharacterized LOC101927038","LOC101927038"
"XG","1554062_at",0.0082753,4.96e-05,5.4,2.16354,1.41163658,"XG","Xg blood group","XG"
"C1orf61","1570451_at",0.0084492,5.16e-05,5.38,2.12701,1.78103224,"C1orf61","chromosome 1 open reading frame 61","C1orf61"
"RHOBTB3","202976_s_at",0.0084529,5.18e-05,5.38,2.12353,0.84044891,"RHOBTB3","Rho related BTB domain containing 3","RHOBTB3"
"NET1","201830_s_at",0.0084756,5.23e-05,5.38,2.11358,1.29016147,"NET1","neuroepithelial cell transforming 1","NET1"
"HAPLN1","230204_at",0.0084756,5.24e-05,5.38,2.11278,1.41345064,"HAPLN1","hyaluronan and proteoglycan link protein 1","HAPLN1"
"BOC","225990_at",0.0085001,5.27e-05,5.37,2.10706,1.1999208,"BOC","BOC cell adhesion associated, oncogene regulated","BOC"
"S100A13","202598_at",0.0085138,5.3e-05,5.37,2.10255,0.95338178,"S100A13","S100 calcium binding protein A13","S100A13"
"SNAI2","213139_at",0.0085138,5.31e-05,5.37,2.09998,1.25770467,"SNAI2","snail family transcriptional repressor 2","SNAI2"
"TRMT13","232489_at",0.0085196,5.35e-05,-5.37,2.0923,-1.16603658,"TRMT13","tRNA methyltransferase 13 homolog","TRMT13"
"PPIL3","224364_s_at",0.0085196,5.4e-05,5.36,2.08339,0.97456611,"PPIL3","peptidylprolyl isomerase like 3","PPIL3"
"RIN2","233811_at",0.0085196,5.43e-05,-5.36,2.07965,-1.63445219,"RIN2","Ras and Rab interactor 2","RIN2"
"HNRNPA1","221919_at",0.0085196,5.44e-05,-5.36,2.0778,-1.39737663,"HNRNPA1","heterogeneous nuclear ribonucleoprotein A1","HNRNPA1"
"PRPF38B","230270_at",0.0085196,5.44e-05,-5.36,2.07742,-0.96211168,"PRPF38B","pre-mRNA processing factor 38B","PRPF38B"
"CDK14","243459_x_at",0.0087455,5.66e-05,-5.34,2.03925,-1.70915421,"CDK14","cyclin dependent kinase 14","CDK14"
"LOC102725022","241799_x_at",0.0087547,5.68e-05,-5.34,2.03559,-1.06452569,"LOC102725022","uncharacterized LOC102725022","LOC102725022"
"MME","203435_s_at",0.008793,5.75e-05,5.33,2.02437,2.04024435,"MME","membrane metallo-endopeptidase","MME"
"PLEKHH3","227248_at",0.008793,5.75e-05,-5.33,2.02398,-1.95834517,"PLEKHH3","pleckstrin homology, MyTH4 and FERM domain containing H3","PLEKHH3"
"HIVEP3","233884_at",0.008793,5.77e-05,-5.33,2.02219,-1.51867684,"HIVEP3","human immunodeficiency virus type I enhancer binding protein 3","HIVEP3"
"EML2","234021_at",0.008793,5.8e-05,-5.33,2.01645,-1.88596076,"EML2","echinoderm microtubule associated protein like 2","EML2"
"LOC101930416","214099_s_at",0.008793,5.82e-05,-5.32,2.0128,-1.12627399,"LOC101930416///LOC101929792///LOC100996724///PDE4DIP","myomegalin-like///uncharacterized LOC101929792///phosphodiesterase 4D interacting protein-like///phosphodiesterase 4D interacting protein","LOC101930416"
"DPP4","203716_s_at",0.008793,5.83e-05,5.32,2.01239,1.462027,"DPP4","dipeptidyl peptidase 4","DPP4"
"CD9","201005_at",0.0088544,5.9e-05,5.32,2.00028,0.81677341,"CD9","CD9 molecule","CD9"
"FNIP1","1559060_a_at",0.0088544,5.91e-05,-5.32,1.99863,-1.15892344,"FNIP1","folliculin interacting protein 1","FNIP1"
"INAFM2","225567_at",0.0088603,5.93e-05,-5.31,1.99541,-1.04447182,"INAFM2","InaF motif containing 2","INAFM2"
"OBSL1","227573_s_at",0.0089789,6.06e-05,-5.3,1.97513,-0.8575577,"OBSL1","obscurin like 1","OBSL1"
